,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
245,1890,CHP,CHP,4,,,,Chicago Pirates,,104,103
246,1890,CIN,CIN,4,,,N,Cincinnati Reds,League Park I in Cincinnati,101,101
247,1890,CL4,CLV,7,,,N,Cleveland Spiders,National League Park,94,97
248,1890,CL6,CLS,2,,,N,Columbus Solons,Recreation Park II,93,93
249,1890,CLP,CLI,7,,,,Cleveland Infants,,92,94
250,1890,LS2,LOU,1,,,N,Louisville Colonels,Eclipse Park I,98,99
251,1890,NY1,SFG,6,,,N,New York Giants,Polo Grounds II,95,95
252,1890,NYP,NYI,3,,,,New York Giants,,108,107
253,1890,PH4,PHA,8,,,N,Philadelphia Athletics,Jefferson Street Grounds,98,99
254,1890,PHI,PHI,3,,,N,Philadelphia Phillies,Philadelphia Baseball Grounds,103,102
255,1890,PHP,PHQ,5,,,,Philadelphia Athletics,,103,101
256,1890,PIT,PIT,8,,,N,Pittsburg Alleghenys,Recreation Park,88,92
257,1890,PTP,PBB,6,,,,Pittsburgh Burghers,,92,92
258,1890,RC2,ROC,5,,,N,Rochester Broncos,Culver Field I,93,92
259,1890,SL4,STL,3,,,N,St. Louis Browns,Sportsman's Park I,114,111
260,1890,SR2,SYS,7,,,N,Syracuse Stars,Star Park II,90,91
261,1890,TL2,TLM,4,,,N,Toledo Maumees,Speranza Park,103,102
262,1891,BL3,BLO,4,,,,Baltimore Orioles,Union Park,101,100
263,1891,BRO,LAD,6,,,,Brooklyn Grooms,Eastern Park,99,99
264,1891,BS2,BRS,1,,,,Boston Reds,Congress Street Grounds,103,99
265,1891,BSN,ATL,1,,,,Boston Beaneaters,South End Grounds II,112,109
266,1891,CHN,CHC,2,,,,Chicago Colts,South Side Park I,106,105
267,1891,CIN,CIN,7,,,,Cincinnati Reds,League Park I in Cincinnati,101,101
268,1891,CL4,CLV,5,,,,Cleveland Spiders,League Park I,104,103
269,1891,CL6,CLS,6,,,,Columbus Solons,Recreation Park II,95,93
270,1891,CN3,CKK,7,,,,Cincinnati Kelly's Killers,East End Park,108,110
271,1891,LS2,LOU,8,,,,Louisville Colonels,Eclipse Park I,97,97
272,1891,ML3,MLA,3,,,,Milwaukee Brewers,Athletic Field,120,118
273,1891,NY1,SFG,3,,,,New York Giants,Polo Grounds III,96,96
274,1891,PH4,PHQ,5,,,,Philadelphia Athletics,Athletic Park,103,103
275,1891,PHI,PHI,4,,,,Philadelphia Phillies,Philadelphia Baseball Grounds,103,102
276,1891,PIT,PIT,8,,,,Pittsburgh Pirates,Exposition Park,97,98
277,1891,SL4,STL,2,,,,St. Louis Browns,Sportsman's Park I,108,108
278,1891,WS9,WAS,9,,,,Washington Statesmen,Boundary Field,95,100
279,1892,BLN,BLO,12,,,,Baltimore Orioles,Union Park,103,104
